종목코드,총자산,총자본회전율,부채비율,매출액증가율,자기자본회전율,당기순이익,최대주주변경,대표이사변경,전환사채,파산신청,거래정지,불성실공시법인,레이블
2230,1608.602951,0.440343457,0.114928076,0.396899853,49.09512837,113.2474751,0,0,0,0,0,0,0
2290,641.0679148,0.879841252,0.180477884,0.997106443,103.863314,26.50700923,0,0,0,0,0,0,0
2680,1228.856404,1.017973507,1.572874631,-0.023310778,261.9118211,9.03737905,0,0,2,0,0,0,0
2800,788.5469856,0.782869749,0.507353541,0.063100696,118.0061488,35.32402445,0,1,0,0,0,0,0
3100,5412.771667,0.265284164,0.78077141,0.1215006,47.2410455,61.68684797,0,0,0,0,0,0,0
3800,4258.941659,0.483882434,0.08456593,0.011938939,52.48024023,264.2903505,0,0,0,0,2,0,0
4590,1108.257971,0.494165271,0.191070226,-0.047417541,58.8585541,54.83576518,0,0,0,0,2,0,0
5160,8270.269789,0.948413941,0.575327745,0.038987061,149.4062796,227.9981532,4,0,0,0,0,0,0
5670,1276.873977,0.915256025,1.650353955,0.079958342,242.5752424,29.31471432,0,0,0,0,0,0,0
6730,15025.77668,0.038296013,2.107155984,0.029446866,11.89916862,-265.5790207,8,0,0,0,1,0,0
6910,1236.21808,0.614157608,0.466320794,0.054346021,90.05520711,-94.05286742,0,0,1,0,0,0,0
8290,470.0022735,0.938619347,0.555918468,-0.048564883,146.0415175,0.82904558,0,0,6,0,0,0,0
8370,853.5399839,0.834973515,0.129098562,-0.050124758,94.27673946,22.28070772,0,0,0,0,0,0,0
8470,845.40828,0.933862684,0.221061628,-0.08531721,114.030389,46.35252016,0,0,0,0,0,0,0
9730,571.6204049,1.001934969,0.953583143,0.061727439,195.7363266,43.34678832,2,0,17,0,0,1,0
10170,1557.661044,0.896615846,0.615466091,0.199106121,144.8452496,132.0857703,3,1,0,0,0,0,0
10470,2075.304803,0.806820675,1.852957065,0.034027531,230.1824744,40.94040254,0,1,0,0,0,0,0
11080,759.7003312,1.49444021,1.861753144,-0.117501252,427.6718969,-259.3287918,0,0,1,0,0,0,0
